N,Algorithm,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Mean,Stdev
100,"NLTK (improved)",1.0881369113922,1.1907179355621,1.0692629814148,1.180223941803,1.067351102829,1.1823570728302,1.073392868042,1.1867110729218,1.336305141449,0.9384229183197,1.13128819465638,0.107488640937235
100,NlpTools,0.57949590682983,0.29400300979614,0.49899506568909,0.49767994880676,0.44239592552185,0.48083806037903,0.55288600921631,0.51852607727051,0.3511860370636,0.2972719669342,0.451327800750732,0.10281630204755
200,"NLTK (improved)",2.048003911972,1.9355089664459,1.8986439704895,1.7794301509857,1.9485919475555,1.9999268054962,1.9925849437714,2.0205569267273,1.9970109462738,1.9908728599548,1.96111314296721,0.0770845842229525
200,NlpTools,1.3812880516052,1.1639361381531,1.3326201438904,1.6284959316254,1.5422439575195,1.2928290367126,1.3071649074554,1.1798930168152,1.3204770088196,1.4173481464386,1.3566296339035,0.145077027317076
300,"NLTK (improved)",4.5709869861603,4.5380668640137,4.9806108474731,4.9321939945221,4.9032008647919,5.5026869773865,5.1416549682617,4.9261269569397,4.8500471115112,4.6970291137695,4.90426046848297,0.281387880935075
300,NlpTools,2.8984060287476,2.877140045166,3.0081820487976,3.0377609729767,3.1049609184265,2.9792730808258,2.9294168949127,2.9129228591919,3.1735379695892,2.8979151248932,2.98195159435272,0.0989942997238907
400,"NLTK (improved)",9.3411300182343,9.1252179145813,9.2063989639282,9.7505359649658,9.3037488460541,9.7703371047974,9.6413950920105,9.1514389514923,9.3045740127563,9.245356798172,9.38401336669922,0.24409939885685
400,NlpTools,5.0639259815216,5.3548350334167,5.1589179039001,5.1744470596313,5.2738070487976,5.1504991054535,5.0647208690643,5.252454996109,5.0191919803619,5.0552771091461,5.15680770874021,0.109929786285986
500,"NLTK (improved)",18.63560795784,19.00883603096,18.446465015411,18.225467920303,18.054067134857,17.912139892578,17.597486019135,18.476844072342,18.218312978745,17.870614051819,18.244584107399,0.413406211118914
500,NlpTools,7.9237639904022,7.9969630241394,7.6586949825287,8.2002120018005,8.0786099433899,8.2404420375824,8.5374350547791,8.2764070034027,8.6582479476929,7.8706910610199,8.14414670467377,0.304385120991454
600,"NLTK (improved)",31.576608896255,31.04442191124,32.194860935211,30.515294075012,29.969586133957,30.241052150726,31.105980873108,30.712187051773,31.012069940567,30.122848987579,30.8494910955428,0.688953853024921
600,NlpTools,11.757314920425,11.540503978729,11.640916824341,11.971403121948,11.857468128204,11.667675971985,11.723719120026,11.804192066193,11.872565031052,11.465087175369,11.7300846338272,0.156007823110881
700,"NLTK (improved)",45.940001010895,47.129327058792,47.141546010971,47.810697793961,46.850303173065,46.985852003098,46.06421995163,46.041455030441,47.060953140259,46.8782081604,46.7902563333512,0.597524158071097
700,NlpTools,15.550418138504,16.410557985306,16.077100038528,16.209640979767,16.085723876953,15.812442064285,15.712746858597,15.910924911499,16.440850973129,16.277626991272,16.048803281784,0.298358377059263
800,"NLTK (improved)",67.21940612793,69.819305896759,69.365379095078,68.831359863281,67.895246982574,67.207787036896,67.78040599823,68.055053949356,66.626116991043,70.337403774261,68.3137465715408,1.22615428093346
800,NlpTools,20.50550198555,20.445104122162,20.713845968246,20.476337909698,20.604944944382,20.56472492218,20.503536939621,20.289401769638,20.80745100975,21.20482301712,20.6115672588347,0.252922864788788
900,"NLTK (improved)",97.20905995369,97.715486049652,100.1343100071,99.728057146072,99.731549978256,97.825572967529,98.711724042892,97.449707984924,98.54971909523,96.356384992599,98.3411572217944,1.24391123565187
900,NlpTools,26.213608026505,26.083124160767,26.976217985153,26.663143157959,26.684868812561,26.234333992004,26.179831981659,26.021643161774,26.43871307373,25.987445116043,26.3482929468155,0.330254298321657
1000,"NLTK (improved)",135.91436481476,131.16711306572,127.69583296776,138.80558490753,135.3400080204,135.39605879784,135.34599590302,131.31745696068,129.20002603531,135.22169804573,133.540413951875,3.49123753784802
1000,NlpTools,33.022650957108,32.371107816696,32.571532964706,33.319237947464,34.015642881393,33.061244010925,33.039974927902,32.861443042755,33.691187143326,33.253159999847,33.1207181692122,0.486905593977118
1100,"NLTK (improved)",171.6457529068,172.16486501694,174.73701810837,169.70459485054,176.01021313667,180.86822390556,168.53462100029,173.77938985825,173.34112691879,173.77220988274,173.455801558495,3.44094425713066
1100,NlpTools,39.319263935089,39.818089962006,39.496428966522,39.58359003067,39.166062116623,39.663419961929,39.377544164658,39.633540153503,39.282557010651,39.728845119476,39.5069341421127,0.213714896213189
1200,"NLTK (improved)",232.2520699501,235.74404096603,234.80363106728,231.31880807877,226.31296896935,231.0844271183,234.31875801086,232.8987300396,233.43026685715,227.58141803741,231.974511909485,3.04291043187119
1200,NlpTools,47.708886146545,47.498878002167,47.987397909164,47.370136022568,46.33113694191,46.694167137146,46.939007997513,47.786488056183,47.562450170517,46.687283039093,47.2565831422806,0.556011806062301
100,NLTK,2.6927101612091,2.9870789051056,2.4966220855713,2.6044499874115,2.6716420650482,2.7882931232452,2.4919030666351,2.6998839378357,2.7136690616608,2.7602360248566,2.69064884185791,0.144454835723031
200,NLTK,14.639503002167,14.87725019455,14.781215190887,14.598125219345,14.673747062683,15.060384988785,14.707359075546,15.107385158539,14.774136066437,14.893523931503,14.8112629890442,0.172494256822216
300,NLTK,47.214583158493,47.912720918655,47.703643083572,47.732915878296,47.389136075974,47.658621072769,48.190347909927,47.371380090714,47.351061105728,47.009249925613,47.5533659219741,0.351605149058313
400,NLTK,110.57005310059,111.54764008522,109.91319012642,110.77713108063,109.99067401886,111.31815195084,112.42211389542,110.72892093658,110.86930704117,111.36046600342,110.949764823915,0.749312448250572
500,NLTK,214.20580291748,216.29544901848,214.28334903717,218.23028087616,216.01153302193,216.18499398232,215.50094008446,218.60647296906,216.64348602295,216.71289205551,216.267519998552,1.43415536033938
600,NLTK,372.6015791893,373.88434505463,370.35115194321,375.23689317703,370.81854701042,375.61387491226,374.39636397362,371.296916008,375.50597000122,374.87882685661,373.45844681263,2.03061130009875
700,NLTK,590.75736999512,590.02403616905,596.57413291931,592.48499083519,590.47491502762,598.06824994087,598.57452487946,591.76241707802,589.39354109764,587.13182687759,592.524600481987,3.89839733337411
800,NLTK,883.39337420464,882.32124090195,882.28306794167,892.84746003151,881.01115894318,884.76963806152,893.5302541256,880.47053098679,890.06884598732,881.48808598518,885.218365716936,5.00573553173398
